content_id,content_type_id,content_type_name,title,address,zipcode,longitude,latitude,overview,homepage,contact,hours,featured_menu,menu,parking,closed_days,restroom,credit_card,detail_information,region_code,signgu_code,large_category_code,large_category_name,middle_category_code,middle_category_name,small_category_code,small_category_name,Score_Nature,Score_Food,Score_Photo,Score_Culture,Score_Activity,Score_Shopping,stay_time_minutes,stay_min,stay_max,stay_src,satisfaction_score,qual,qual_rel,qual_category,satisfaction_src,food_tags
2857265,39,음식점,513텐동,제주특별자치도 제주시 구남로8길 17 (이도이동),63232,126.5370555146,33.4902927242,"513텐동은 제주에서 색다른 맛을 경험할 수 있는 퓨전 텐동 전문점으로, 고르는 재미와 먹는 재미를 동시에 느낄 수 있는 곳이다. 이곳은 일본식 덮밥인 텐동을 기본으로 하되, 독창적인 구성과 다양한 재료 조합을 통해 누구나 취향에 맞게 즐길 수 있는 메뉴를 선보인다. 특히 신선한 기름으로 정성껏 튀겨낸 바삭한 튀김과 특제 소스의 조화가 입맛을 사로잡는다. 대표 메뉴인 513 텐동은 탱글한 새우튀김을 중심으로, 오늘의 채소튀김, 느타리버섯, 꽈리고추, 김, 수란까지 어우러져 다양한 풍미와 식감을 한 그릇에서 즐길 수 있는 인기 메뉴다. 또 하나의 베스트셀러인 육회텐동은 고소한 튀김 위에 신선한 육회를 함께 얹어내어, 고기와 튀김을 한 번에 맛볼 수 있는 이색적인 조합으로 많은 손님들의 사랑을 받고 있다. 메뉴 하나하나가 다양한 재료의 튀김으로 구성되어 있어 각각 골라 먹는 재미도 크다 .텐동의 새로운 매력을 느껴보고 싶다면, 추천하는 곳이다.",Unknown,0507-1327-4345,11:20~20:30 (마지막 주문 19:50),513텐동,육회텐동 / 통돼지삼겹바베큐텐동 / 연어텐동 등,가능,매주 토요일,있음,가능,화장실: 있음,50,110,FD,음식,FD02,외국식,FD020200,일식,0,100,20,0,10,0,60,45,75,category,0.849,,0.0,0.849,category,"일식,양식·세계음식"
2863940,39,음식점,52번가,제주특별자치도 제주시 도남로 52 (도남동),63201,126.5270118197,33.4957030765,"52번가는 제주 제주시 도남동에 위치한 아담하고 감성적인 디저트 카페로, 수플레와 크로플을 중심으로 한 다양한 디저트 메뉴를 즐길 수 있는 곳이다. 실내는 찻잔과 접시, 앤틱한 찬장, 빈티지한 램프와 레이스 커튼 등 아기자기한 소품들로 꾸며져 있어 전반적으로 따뜻하고 아늑한 분위기 덕분에 사진 찍기에도 좋고, 조용한 대화를 나누기에도 좋다. 이곳의 대표 메뉴는 천 번을 휘저어 만든 52번가 수플레이다. 또 다른 인기 메뉴인 ‘브라운치즈 크로플’은 브라운치즈가 올라가 있어 고소하고 짭조름한 맛이 크로플과 잘 어우러진다. 이 외에도 ‘모짜르트 커피’, ‘런던 크림 커피’ 등 독특하고 이색적인 커피 메뉴들도 준비되어 있어 색다른 커피 경험을 원하는 이들에게도 만족감을 준다. 주변에는 제주도민속자연사박물관, 삼성혈, 제주원도심 등 함께 둘러보기 좋은 관광지가 있다.",Unknown,010-2000-6509,11:00~22:00,52번가 수플레,런던 크림 커피 / 브라운치즈 크로플 / 모짜르트 커피 등,불가능,매주 화요일,있음,Unknown,화장실: 있음,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,30,90,70,10,10,0,60,45,75,category,0.8263,,0.0,0.8263,category,
2911088,39,음식점,5L2F,제주특별자치도 제주시 와흘상길 30,63344,126.6335448189,33.4939265833,"5L2F는 제주특별자치도 제주시 조천읍 와흘리에 위치한 로스터리 카페다. 성경 속 다섯 개의 떡과 두 개의 물고기를 의미하는 이름처럼 특별한 의미를 담고 있으며, 제주 동쪽 중산간의 여유로운 분위기 속에서 커피를 즐길 수 있는 공간이다. 직접 볶은 원두를 활용한 다양한 커피 메뉴를 선보이며, 대표 메뉴인 크림크레마는 부드러운 크림 라떼, 153커피는 진한 풍미의 라떼, 뜬구름은 시나몬 향이 어우러진 카푸치노다. 라떼 맛집으로 알려져 있으며, 유기농 밀가루와 원당을 사용한 케이크류와 독특한 군밤 디저트도 인기다. 매장에서 직접 로스팅한 원두와 드립백 커피도 판매해 카페의 맛을 집에서도 즐길 수 있다.",Unknown,064-752-5020,10:00~18:00,크림크레마,153커피 / 뜬구름 / 찬구름 / 시그니쳐듀오 등,가능,매주 일요일~월요일,Unknown,Unknown,Unknown,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,40,90,50,10,10,30,45,30,60,blend,0.8578,1.0,0.1813,0.8263,blend,
2899703,39,음식점,73st,제주특별자치도 제주시 해안마을길 73,63077,126.4551439425,33.4570339914,"73st는 제주시 해안초등학교 앞에 있는 대형 브런치 카페로 대표메뉴는 제주 고사리 오믈렛과 떠벅(떠먹는 버거)이다. 빵쌈의 경우 카페에서 직접 숙성하여 만든 통삼겹살과 모닝빵, 샐러드가 함께 나오는데 미니버거를 만들어 먹거나 따로 샐러드와 함께 먹는다. 이밖에 프렌치토스트, 스튜, 샐러드류 등 다양한 브런치 메뉴와 피자류가 있다. 테이블이 다양하고 창가에 빈백이 있으며 루프탑도 갖춰져 있다.",https://www.instagram.com/jeju_73st_cafe,064-748-7309,09:00~19:00 (마지막 주문 18:00),제주 고사리 오믈렛,딸기라떼 / 새우·홍합 스튜 / 감바스 피자 / 떠벅 등,가능,매주 화요일,있음,Unknown,화장실: 있음,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,10,90,60,0,10,0,60,45,75,blend,0.8351,0.875,0.1813,0.8263,blend,
2359240,39,음식점,88돼지,제주특별자치도 제주시 제원길 7,63129,126.489606,33.489329,88돼지는 제주시에 위치한 흑돼지 근고기 전문점이다. 100% 제주산 품질 좋은 돼지고기를 고객에게 제공한다. 쫄깃하고 두툼한 흑돼지 근고기를 멜젓에 찍어 먹는 맛의 풍미가 깊다. 근고기 외에도 오겹살을 맛볼 수 있다. 제주 공항 근처에 위치하여 많은 여행객들이 방문하는 고기집이다.,Unknown,0507-1400-9947,16:00~04:00 (마지막 주문 03:00),흑근고기,흑오겹살 / 백오겹살 / 흑돼지김치찌개 등,가능,연중무휴,Unknown,가능,Unknown,50,110,FD,음식,FD01,한식,FD010100,관광식당,0,100,20,0,0,0,60,45,75,blend,0.7587,0.5,0.1813,0.816,blend,"고기·구이,한식"
2904488,39,음식점,88로스터즈,제주특별자치도 제주시 금산5길 35-1 1층,63286,126.5634867132,33.5258578478,"88로스터즈는 제주특별자치도 제주시 화북해안도로 화북포구 인근에 위치한 로스터리 카페이다. 포구와 가까운 곳에 자리하고 있지만 매장에서는 바다 대신 아늑한 분위기의 공간을 즐길 수 있다. 내부는 은은한 민트색과 타일, 벽돌 소재를 활용해 감각적으로 꾸며져 있으며, 매장에서 직접 로스팅한 원두로 커피를 내려 진한 풍미를 느낄 수 있다. 커피 메뉴와 함께 스콘, 쿠키, 에그타르트 등 간단한 베이커리류도 판매한다. 영업시간은 매장 상황에 따라 변동될 수 있어 방문 전 SNS나 전화로 확인하는 것이 좋다. 주변에는 삼양해수욕장과 국립제주박물관 등이 있어 함께 둘러보기 좋다.",Unknown,010-6789-7130,12:00~19:00※ 유동적일 수 있으므로 전화 문의 후 방문 요망,아메리카노,티라미수 / 카페라떼 / 레몬에이드 등,가능,연중무휴,Unknown,Unknown,Unknown,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,30,80,70,10,10,0,60,45,75,category,0.8263,,0.0,0.8263,category,
2852457,39,음식점,ABC 에이팩토리베이커리카페,제주특별자치도 제주시 관덕로7길 39 (삼도이동),63166,126.5232394495,33.5166840271,"ABC 에이팩토리베이커리카페는 제주공항 인근 탑동에 위치한 베이커리 카페이다. 전체적으로 인더스트리얼 느낌의 인테리어로 콘크리트와 벽돌이 그대로 노출된 형태이고, 2층에는 책장과 함께 올드 스쿨 느낌의 테이블과 의자가 있다. 시그니처 메뉴는 호밀가루와 샤워종 반죽에 무화과와 호두까지 더해져 풍성한 식감의 무화과캄파뉴이다. 현지인들에게는 바게트와 아몬드 크로와상이 인기가 많으며, 여행객들에게는 간단하게 먹을 수 있는 포르투갈식 에그타르트가 인기가 많다. 빵이 나오는 시간이 정해져 있어 먹고 싶은 빵이 있다면 미리 확인 후 방문하는 것이 좋다.",https://www.instagram.com/abc_bakery_jeju,064-720-8223,08:30~16:00,무화과 캄파뉴,에그마요 샌드위치 / 잠봉뵈르 / 생식빵 등,불가능,"매주 화요일, 수요일",있음,가능,화장실: 있음,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,0,90,70,0,10,10,60,45,75,observed,0.6699,0.6389,0.8347,0.8263,blend,
2904508,39,음식점,AND 유 CAFE,제주특별자치도 제주시 한림읍 한림로 518,63012,126.2542070367,33.4046005109,"AND 유 CAFE는 한림읍 옹포리에 있다. 동물성 식품을 전혀 사용하지 않는 비건 카페로 제주를 여행하는 채식주의자들에게 일찍부터 소문이 났다. 기후위기와 환경문제, 동물권 등의 문제를 음식으로 얘기하려고 하는 모토가 있는 곳이다. 홈메이드 비건버거, 샌드위치 등 브런치를 주로 판매하며 공정무역 커피와 초콜릿, 유기농 차를 맛볼 수 있고 일회용품은 지양한다. 환경을 위한 운동과 캠페인에 적극적으로 참여하며 비건 음식 클래스도 운영한다. 비건 식료품과 로컬 친환경 제철 채소도 구매할 수 있다.",https://www.instagram.com/andyucafe,0507-1302-9564,16:00~21:00,비건 치킨 랩,veef 치즈 버거 / 비건 치킨 버거 / 크리스피 템페 버거 등,가능,매주 화요일~수요일,있음,Unknown,화장실: 있음,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,30,90,40,40,60,50,60,45,75,category,0.8263,,0.0,0.8263,category,
2877807,39,음식점,M1971 카페 엠브릿지,제주특별자치도 서귀포시 최남단해안로 128 M1971 요트클럽하우스 1F,63513,126.2571416578,33.2101442731,"M1971 카페 엠브릿지는 제주 모슬포 운진항에 있다. 다수의 방송에 출연한 바 있는 남방 큰 돌고래 투어, 일출 투어 등 다양한 요트 프로그램에 참여할 수 있고 저녁에는 아름다운 일몰과 노을을 조망할 수 있다. 컵빙수와 돌고래라테, 산방산 라테 등 시그니처 음료와 샌드위치, 머핀, 크로플이 준비되다. 반려동물 동반이 가능하다.",https://www.m1971.com,070-4772-9714,08:00~18:00 (마지막 주문 17:45),돌고래라떼,산방산라떼 / 한라산라떼 / 모슬포감귤차 등,가능,연중무휴,있음,Unknown,화장실: 있음,50,130,FD,음식,FD05,카페/ 찻집,FD050100,카페,70,80,80,0,70,0,60,45,75,category,0.8263,,0.0,0.8263,category,
2850913,39,음식점,가는곶 세화,제주특별자치도 제주시 구좌읍 세화14길 3,63361,126.8606961680,33.5205279098,"가는곶 세화는 제주특별자치도 제주시 구좌읍 세화리에 자리한 감성적인 베이커리로, ‘옆집으로 이사 가고 싶은 세화빵집’을 모토로 운영되고 있다. 이곳은 제주에서 자란 건강한 농작물을 활용한 빵을 만드는 것으로 유명한데, 제주토종흑보리, 대추방울토마토, 푸른콩 등 제주 농부들이 정성껏 키운 재료들을 사용한다. 반죽은 최대한 최소화하여 소화에 부담이 적은 빵을 만드는 것을 지향하고 있다. 시그니처 메뉴로는 에멘탈 치즈와 살짝 말린 토마토가 들어간 ‘에멘탈썬드라이토마토’, 그리고 구운 감자의 풍미가 살아 있는 ‘구운제주감자빵’ 등이 있다. 근처에 세화해수욕장, 평대해변, 비자림 등 자연명소가 가까이 있어 함께 둘러보는 것도 추천한다.",https://instagram.com/whisky_sehwa,064-782-9006,- 화요일~금요일 09:00~19:00 / - 토요일~월요일 09:00~21:00,흑보리사워도우,에멘탈썬드라이토마토 / 구운제주감자빵 / 쑥보늬밤빵 등,불가능,연중무휴 / ※ 변동 가능성이 있으므로 전화문의 요망,있음,Unknown,화장실: 있음,50,110,FD,음식,FD05,카페/ 찻집,FD050100,카페,40,90,60,20,10,20,30,15,45,observed,0.8729,0.9,0.6321,0.8263,blend,
